field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text
Reference Area,Italy,Time Period,1983,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,890371
Reference Area,Italy,Time Period,1982,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,443384
Reference Area,Italy,Time Period,1982,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,910295
Reference Area,Italy,Time Period,1981,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,443736
Reference Area,Italy,Time Period,1981,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,912908
Reference Area,Italy,Time Period,1980,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,460351
Reference Area,Italy,Time Period,1980,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,945818
Reference Area,Italy,Time Period,1979,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,455321
Reference Area,Italy,Time Period,1979,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,937730
Reference Area,Italy,Time Period,1978,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,462505
Reference Area,Italy,Time Period,1978,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,949395
Reference Area,Italy,Time Period,1977,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,478523
Reference Area,Italy,Time Period,1977,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,981126
Reference Area,Italy,Time Period,1976,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,482824
Reference Area,Italy,Time Period,1976,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,991380
Reference Area,Italy,Time Period,1975,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,495525
Reference Area,Italy,Time Period,1975,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1017919
